iter	RMSE
0	22.18989648
1	21.97061139
2	21.77157337
3	21.59776137
4	21.42918089
5	21.26236938
6	21.08436008
7	20.97830497
8	20.83490967
9	20.72345289
10	20.61053531
11	20.48109004
12	20.32663147
13	20.19311252
14	20.0868712
15	19.96374985
16	19.8439869
17	19.76012021
18	19.61716489
19	19.53901186
20	19.45498045
21	19.37382767
22	19.2930111
23	19.19777099
24	19.11544826
25	19.02064938
26	18.94493991
27	18.85800679
28	18.80010065
29	18.73528895
30	18.66855289
31	18.55883131
32	18.48074842
33	18.38045802
34	18.27982779
35	18.19540704
36	18.13435051
37	18.08479188
38	18.01415438
39	17.95281212
40	17.90216843
41	17.82376408
42	17.73989864
43	17.69441122
44	17.62349275
45	17.55698652
46	17.50517057
47	17.45771402
48	17.38048453
49	17.32960832
50	17.2656627
51	17.20754978
52	17.16568098
53	17.10703059
54	16.99993961
55	16.96559134
56	16.91954714
57	16.89319289
58	16.85930199
59	16.81510643
60	16.76579554
61	16.65752208
62	16.61610552
63	16.54728177
64	16.50884026
65	16.47138472
66	16.41337019
67	16.3677673
68	16.20545061
69	16.1337941
70	16.08455904
71	16.02199997
72	15.9832867
73	15.95375027
74	15.90762965
75	15.88047918
76	15.82558191
77	15.79809019
78	15.77298422
79	15.63705275
80	15.60277798
81	15.56759276
82	15.51845253
83	15.4951422
84	15.47478256
85	15.4462888
86	15.34125358
87	15.31832133
88	15.1648907
89	15.1337134
90	15.09408398
91	15.03560794
92	15.00317947
93	14.9750484
94	14.95522662
95	14.93206425
96	14.89575361
97	14.86787996
98	14.72794303
99	14.69911573
100	14.67866965
101	14.64688944
102	14.60556215
103	14.57073745
104	14.54174942
105	14.50343567
106	14.47307378
107	14.43785944
108	14.42027555
109	14.36736397
110	14.33668065
111	14.30514128
112	14.1884586
113	14.0828502
114	14.0637361
115	14.04340786
116	14.01336614
117	13.99356519
118	13.97329107
119	13.9464736
120	13.90502725
121	13.87649979
122	13.85139654
123	13.83907391
124	13.82010921
125	13.79149146
126	13.77345796
127	13.72432571
128	13.68305165
129	13.66173455
130	13.64297226
131	13.62879799
132	13.59884504
133	13.49997496
134	13.47824606
135	13.46025914
136	13.42266717
137	13.38100803
138	13.36016418
139	13.33458795
140	13.30810731
141	13.27389368
142	13.25562982
143	13.22595524
144	13.20310166
145	13.18636278
146	13.15832179
147	13.10311001
148	13.09061388
149	13.07390693
150	12.97819902
151	12.94642785
152	12.85980596
153	12.78835884
154	12.77023227
155	12.75163745
156	12.71797947
157	12.70520865
158	12.68399855
159	12.65134148
160	12.60656894
161	12.53022788
162	12.44911623
163	12.43049819
164	12.34711984
165	12.33116842
166	12.3056255
167	12.28611171
168	12.26608627
169	12.2456141
170	12.23029256
171	12.14657241
172	12.13051576
173	12.10466697
174	12.04983327
175	12.03646132
176	11.97845001
177	11.94922237
178	11.93205213
179	11.88522984
180	11.83784777
181	11.81583302
182	11.79515306
183	11.76606656
184	11.73754024
185	11.68892228
186	11.67137097
187	11.61625393
188	11.60125577
189	11.58817955
190	11.57270529
191	11.54928245
192	11.53388027
193	11.48630412
194	11.46251043
195	11.44464757
196	11.43038834
197	11.40202715
198	11.37212016
199	11.35629106
200	11.33739735
201	11.31554604
202	11.28251211
203	11.26437003
204	11.2451455
205	11.23043386
206	11.2145656
207	11.17208878
208	11.14209731
209	11.11930511
210	11.10572801
211	11.05602008
212	11.01829515
213	11.00317148
214	10.97856121
215	10.95995892
216	10.93777675
217	10.92064821
218	10.88985224
219	10.87762681
220	10.85867728
221	10.82989986
222	10.82053994
223	10.80219294
224	10.782673
225	10.76622041
226	10.74869385
227	10.73277615
228	10.72217535
229	10.70518095
230	10.66813194
231	10.63422485
232	10.59476825
233	10.57010959
234	10.55908408
235	10.53062755
236	10.50846257
237	10.48194071
238	10.47113212
239	10.46127303
240	10.44782135
241	10.43353181
242	10.42159221
243	10.4039517
244	10.39148297
245	10.38561171
246	10.37031387
247	10.33923163
248	10.32031441
249	10.30013169
250	10.27986742
251	10.26413078
252	10.24913414
253	10.22688912
254	10.19912073
255	10.18420878
256	10.17105481
257	10.15842845
258	10.14873119
259	10.12047429
260	10.1076255
261	10.09515305
262	10.08668878
263	10.08099674
264	10.05922212
265	10.05195279
266	10.034947
267	10.01597247
268	10.00988692
269	9.997296699
270	9.987398371
271	9.969050325
272	9.959275607
273	9.951612471
274	9.941416063
275	9.931695313
276	9.914094693
277	9.902715215
278	9.872322292
279	9.853026462
280	9.837622527
281	9.811563756
282	9.802579475
283	9.786442932
284	9.77604172
285	9.765219442
286	9.736418454
287	9.718086358
288	9.705746736
289	9.692819632
290	9.684378149
291	9.668106352
292	9.658221052
293	9.638353833
294	9.618225863
295	9.60731973
